"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
120, 1.312664500970000e+00, 2.220446049250313e-16, 1.326434448587607e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876398242908048e+05, 1.000000000000000e-10, 2.785760753890879e+09
121, 1.355622969660000e+00, 2.220446049250313e-16, 1.326439506742697e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876397220852546e+05, 1.000000000000000e-10, 2.785741216982296e+09
122, 1.398581438350000e+00, 2.220446049250313e-16, 1.326433864256507e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876396385940544e+05, 1.000000000000000e-10, 2.785761542639083e+09
123, 1.441539907040000e+00, 2.220446049250313e-16, 1.326434490450409e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876395651367873e+05, 1.000000000000000e-10, 2.785758671982380e+09
124, 1.484498375720000e+00, 2.220446049250313e-16, 1.326428751137570e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876394985081362e+05, 1.000000000000000e-10, 2.785779482646353e+09
125, 1.527456844410000e+00, 2.220446049250313e-16, 1.326432941803937e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876394450757429e+05, 1.000000000000000e-10, 2.785763528442191e+09
126, 1.570415313100000e+00, 2.220446049250313e-16, 1.326427702000698e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876394080058137e+05, 1.000000000000000e-10, 2.785782704596825e+09
127, 1.613373781790000e+00, 2.220446049250313e-16, 1.326425010153781e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876393847384473e+05, 1.000000000000000e-10, 2.785792524639484e+09
128, 1.656332250480000e+00, 2.220446049250313e-16, 1.326423645136845e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876393664556900e+05, 1.000000000000000e-10, 2.785797456159973e+09
129, 1.699290719170000e+00, 2.220446049250313e-16, 1.326427540639910e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876393533456335e+05, 1.000000000000000e-10, 2.785782897298326e+09
130, 1.742249187860000e+00, 2.220446049250313e-16, 1.326422328842852e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876393517773526e+05, 1.000000000000000e-10, 2.785802233584921e+09
131, 1.785207656550000e+00, 2.220446049250313e-16, 1.326420588763990e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876393733330963e+05, 1.000000000000000e-10, 2.785808853664875e+09
132, 1.828166125240000e+00, 2.220446049250313e-16, 1.326418601211369e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876394443655505e+05, 1.000000000000000e-10, 2.785816760275665e+09
